review_id,record_level,design,model,feature_set,run_id,session_id,family_id,family_name,variant_id,label,error_window_index,representative_window_index,score,threshold,distance_from_threshold,prediction,error_type,exact_indicator_score,exact_indicator_prediction,rule_score,rule_prediction,telemetry_score,telemetry_prediction,hybrid_score,hybrid_prediction,principal_feature_values,benign_deviation_summary,source_health_status,run_validation_passed,preflight_passed,endpoint_export_complete,wazuh_export_complete,suricata_export_complete,rollback_success,action_records,failed_actions,sysmon_event_count,osquery_snapshot_record_count,osquery_malformed_line_count,wazuh_exported_unique_alerts,suricata_records_exported,suricata_malformed_lines,raw_evidence_directory,source_health_report,suggested_category,final_category,raw_evidence_consistent,feature_explanation_consistent,retain_in_metrics,manual_review_notes,review_status
SELERR-028,run,family_holdout_1_B1_S1,random_forest,telemetry_only,S01-004-B1-V1,S01,B1,document_workflow,V1,0,,2,0.68875,0.6,0.08875,1,false_positive,0.0,0,1.0,1,0.68875,1,0.5188954016963436,0,sysmon_file_create_count=0; sysmon_network_connect_count=0; sysmon_process_create_count=0; sysmon_cmd_process_count=0; sysmon_unique_process_image_count=0; sysmon_unique_parent_child_pair_count=0,sysmon_file_create_count=0; benign_mean=5.6667; standardised_deviation=-0.7626 | sysmon_unique_destination_count=0; benign_mean=0.625; standardised_deviation=-0.6299 | sysmon_network_connect_count=0; benign_mean=1.0417; standardised_deviation=-0.5974 | osquery_process_count_delta=1; benign_mean=0.25; standardised_deviation=0.5774 | sysmon_unique_process_image_count=0; benign_mean=0.5; standardised_deviation=-0.433,complete,yes,yes,yes,yes,yes,yes,4,0,66,10,0,22,94,0,/home/edradmin/edr-evidence/runs/S01-004-B1-V1,/home/edradmin/edr-evidence/runs/S01-004-B1-V1/run-validation-report.json,held-out-family shift,,,,yes,,pending
SELERR-029,run,family_holdout_1_B1_S1,random_forest,telemetry_only,S01-007-B1-V2,S01,B1,document_workflow,V2,0,,2,0.69375,0.6,0.09375,1,false_positive,0.0,0,1.0,1,0.69375,1,0.5000223682437656,0,sysmon_file_create_count=0; sysmon_network_connect_count=0; sysmon_process_create_count=0; sysmon_cmd_process_count=0; sysmon_unique_process_image_count=0; sysmon_unique_parent_child_pair_count=0,sysmon_file_create_count=0; benign_mean=5.6667; standardised_deviation=-0.7626 | sysmon_unique_destination_count=0; benign_mean=0.625; standardised_deviation=-0.6299 | sysmon_network_connect_count=0; benign_mean=1.0417; standardised_deviation=-0.5974 | sysmon_unique_process_image_count=0; benign_mean=0.5; standardised_deviation=-0.433 | sysmon_unique_parent_child_pair_count=0; benign_mean=0.5; standardised_deviation=-0.433,complete,yes,yes,yes,yes,yes,yes,4,0,51,10,0,18,79,0,/home/edradmin/edr-evidence/runs/S01-007-B1-V2,/home/edradmin/edr-evidence/runs/S01-007-B1-V2/run-validation-report.json,held-out-family shift,,,,yes,,pending
SELERR-030,run,family_holdout_1_B1_S1,random_forest,telemetry_only,S02-001-B1-V1,S02,B1,document_workflow,V1,0,,2,0.67,0.6,0.07000000000000006,1,false_positive,0.0,0,1.0,1,0.67,1,0.4675027219425227,0,sysmon_file_create_count=0; sysmon_network_connect_count=2; sysmon_process_create_count=0; sysmon_cmd_process_count=0; sysmon_unique_process_image_count=0; sysmon_unique_parent_child_pair_count=0,sysmon_file_create_count=0; benign_mean=5.6667; standardised_deviation=-0.7626 | sysmon_network_connect_count=2; benign_mean=1.0417; standardised_deviation=0.5496 | sysmon_unique_process_image_count=0; benign_mean=0.5; standardised_deviation=-0.433 | sysmon_unique_parent_child_pair_count=0; benign_mean=0.5; standardised_deviation=-0.433 | sysmon_unique_destination_count=1; benign_mean=0.625; standardised_deviation=0.378,complete,yes,yes,yes,yes,yes,yes,4,0,55,10,0,22,101,0,/home/edradmin/edr-evidence/runs/S02-001-B1-V1,/home/edradmin/edr-evidence/runs/S02-001-B1-V1/run-validation-report.json,held-out-family shift,,,,yes,,pending
SELERR-031,run,family_holdout_1_B1_S1,random_forest,telemetry_only,S02-003-B1-V2,S02,B1,document_workflow,V2,0,,2,0.69375,0.6,0.09375,1,false_positive,0.0,0,1.0,1,0.69375,1,0.5000223682437656,0,sysmon_file_create_count=0; sysmon_network_connect_count=0; sysmon_process_create_count=0; sysmon_cmd_process_count=0; sysmon_unique_process_image_count=0; sysmon_unique_parent_child_pair_count=0,sysmon_file_create_count=0; benign_mean=5.6667; standardised_deviation=-0.7626 | sysmon_unique_destination_count=0; benign_mean=0.625; standardised_deviation=-0.6299 | sysmon_network_connect_count=0; benign_mean=1.0417; standardised_deviation=-0.5974 | sysmon_unique_process_image_count=0; benign_mean=0.5; standardised_deviation=-0.433 | sysmon_unique_parent_child_pair_count=0; benign_mean=0.5; standardised_deviation=-0.433,complete,yes,yes,yes,yes,yes,yes,4,0,49,10,0,18,79,0,/home/edradmin/edr-evidence/runs/S02-003-B1-V2,/home/edradmin/edr-evidence/runs/S02-003-B1-V2/run-validation-report.json,held-out-family shift,,,,yes,,pending
SELERR-032,run,family_holdout_1_B1_S1,random_forest,telemetry_only,S03-005-B1-V1,S03,B1,document_workflow,V1,0,,2,0.69375,0.6,0.09375,1,false_positive,0.0,0,1.0,1,0.69375,1,0.5314236049242751,1,sysmon_file_create_count=0; sysmon_network_connect_count=0; sysmon_process_create_count=0; sysmon_cmd_process_count=0; sysmon_unique_process_image_count=0; sysmon_unique_parent_child_pair_count=0,sysmon_file_create_count=0; benign_mean=5.6667; standardised_deviation=-0.7626 | sysmon_unique_destination_count=0; benign_mean=0.625; standardised_deviation=-0.6299 | sysmon_network_connect_count=0; benign_mean=1.0417; standardised_deviation=-0.5974 | sysmon_unique_process_image_count=0; benign_mean=0.5; standardised_deviation=-0.433 | sysmon_unique_parent_child_pair_count=0; benign_mean=0.5; standardised_deviation=-0.433,complete,yes,yes,yes,yes,yes,yes,4,0,56,10,0,19,84,0,/home/edradmin/edr-evidence/runs/S03-005-B1-V1,/home/edradmin/edr-evidence/runs/S03-005-B1-V1/run-validation-report.json,held-out-family shift,,,,yes,,pending
SELERR-033,run,family_holdout_1_B1_S1,random_forest,telemetry_only,S03-006-B1-V2,S03,B1,document_workflow,V2,0,,2,0.69375,0.6,0.09375,1,false_positive,0.0,0,1.0,1,0.69375,1,0.5300054668832656,1,sysmon_file_create_count=0; sysmon_network_connect_count=0; sysmon_process_create_count=0; sysmon_cmd_process_count=0; sysmon_unique_process_image_count=0; sysmon_unique_parent_child_pair_count=0,sysmon_file_create_count=0; benign_mean=5.6667; standardised_deviation=-0.7626 | sysmon_unique_destination_count=0; benign_mean=0.625; standardised_deviation=-0.6299 | sysmon_network_connect_count=0; benign_mean=1.0417; standardised_deviation=-0.5974 | sysmon_unique_process_image_count=0; benign_mean=0.5; standardised_deviation=-0.433 | sysmon_unique_parent_child_pair_count=0; benign_mean=0.5; standardised_deviation=-0.433,complete,yes,yes,yes,yes,yes,yes,4,0,48,10,0,17,80,0,/home/edradmin/edr-evidence/runs/S03-006-B1-V2,/home/edradmin/edr-evidence/runs/S03-006-B1-V2/run-validation-report.json,held-out-family shift,,,,yes,,pending
SELERR-015,window,family_holdout_1_B1_S1,random_forest,telemetry_only,S01-004-B1-V1,S01,B1,document_workflow,V1,0,2,2,0.68875,0.6,0.08875,1,false_positive,0.0,0,1.0,1,0.68875,1,0.5188954016963436,0,sysmon_file_create_count=0; sysmon_network_connect_count=0; sysmon_process_create_count=0; sysmon_cmd_process_count=0; sysmon_unique_process_image_count=0; sysmon_unique_parent_child_pair_count=0,sysmon_file_create_count=0; benign_mean=5.6667; standardised_deviation=-0.7626 | sysmon_unique_destination_count=0; benign_mean=0.625; standardised_deviation=-0.6299 | sysmon_network_connect_count=0; benign_mean=1.0417; standardised_deviation=-0.5974 | osquery_process_count_delta=1; benign_mean=0.25; standardised_deviation=0.5774 | sysmon_unique_process_image_count=0; benign_mean=0.5; standardised_deviation=-0.433,complete,yes,yes,yes,yes,yes,yes,4,0,66,10,0,22,94,0,/home/edradmin/edr-evidence/runs/S01-004-B1-V1,/home/edradmin/edr-evidence/runs/S01-004-B1-V1/run-validation-report.json,held-out-family shift,,,,yes,,pending
SELERR-016,window,family_holdout_1_B1_S1,random_forest,telemetry_only,S01-005-S1-V1,S01,S1,file_registry_burst,V1,1,3,3,0.095,0.6,-0.505,0,false_negative,38.0,1,1.0,1,0.095,0,0.1820893934036329,0,sysmon_file_create_count=20; sysmon_network_connect_count=7; sysmon_process_create_count=0; sysmon_cmd_process_count=0; sysmon_unique_process_image_count=0; sysmon_unique_parent_child_pair_count=0,sysmon_file_delete_count=18; benign_mean=0.4167; standardised_deviation=12.7238 | sysmon_network_connect_count=7; benign_mean=1.0417; standardised_deviation=3.4174 | sysmon_unique_destination_count=4; benign_mean=0.625; standardised_deviation=3.4017 | sysmon_file_create_count=20; benign_mean=5.6667; standardised_deviation=1.9288 | sysmon_unique_process_image_count=0; benign_mean=0.5; standardised_deviation=-0.433,complete,yes,yes,yes,yes,yes,yes,4,0,146,11,0,20,92,0,/home/edradmin/edr-evidence/runs/S01-005-S1-V1,/home/edradmin/edr-evidence/runs/S01-005-S1-V1/run-validation-report.json,held-out-family shift,,,,yes,,pending
SELERR-017,window,family_holdout_1_B1_S1,random_forest,telemetry_only,S01-007-B1-V2,S01,B1,document_workflow,V2,0,2,2,0.69375,0.6,0.09375,1,false_positive,0.0,0,1.0,1,0.69375,1,0.5000223682437656,0,sysmon_file_create_count=0; sysmon_network_connect_count=0; sysmon_process_create_count=0; sysmon_cmd_process_count=0; sysmon_unique_process_image_count=0; sysmon_unique_parent_child_pair_count=0,sysmon_file_create_count=0; benign_mean=5.6667; standardised_deviation=-0.7626 | sysmon_unique_destination_count=0; benign_mean=0.625; standardised_deviation=-0.6299 | sysmon_network_connect_count=0; benign_mean=1.0417; standardised_deviation=-0.5974 | sysmon_unique_process_image_count=0; benign_mean=0.5; standardised_deviation=-0.433 | sysmon_unique_parent_child_pair_count=0; benign_mean=0.5; standardised_deviation=-0.433,complete,yes,yes,yes,yes,yes,yes,4,0,51,10,0,18,79,0,/home/edradmin/edr-evidence/runs/S01-007-B1-V2,/home/edradmin/edr-evidence/runs/S01-007-B1-V2/run-validation-report.json,held-out-family shift,,,,yes,,pending
SELERR-018,window,family_holdout_1_B1_S1,random_forest,telemetry_only,S01-012-S1-V2,S01,S1,file_registry_burst,V2,1,3,3,0.005,0.6,-0.595,0,false_negative,0.0,0,1.0,1,0.005,0,0.1590291680451672,0,sysmon_file_create_count=20; sysmon_network_connect_count=0; sysmon_process_create_count=0; sysmon_cmd_process_count=0; sysmon_unique_process_image_count=0; sysmon_unique_parent_child_pair_count=0,sysmon_file_delete_count=18; benign_mean=0.4167; standardised_deviation=12.7238 | sysmon_file_create_count=20; benign_mean=5.6667; standardised_deviation=1.9288 | osquery_process_count_delta=-1; benign_mean=0.25; standardised_deviation=-0.9623 | sysmon_unique_destination_count=0; benign_mean=0.625; standardised_deviation=-0.6299 | sysmon_network_connect_count=0; benign_mean=1.0417; standardised_deviation=-0.5974,complete,yes,yes,yes,yes,yes,yes,4,0,165,11,0,28,103,0,/home/edradmin/edr-evidence/runs/S01-012-S1-V2,/home/edradmin/edr-evidence/runs/S01-012-S1-V2/run-validation-report.json,held-out-family shift,,,,yes,,pending
SELERR-019,window,family_holdout_1_B1_S1,random_forest,telemetry_only,S02-001-B1-V1,S02,B1,document_workflow,V1,0,2,2,0.67,0.6,0.07000000000000006,1,false_positive,0.0,0,1.0,1,0.67,1,0.4675027219425227,0,sysmon_file_create_count=0; sysmon_network_connect_count=2; sysmon_process_create_count=0; sysmon_cmd_process_count=0; sysmon_unique_process_image_count=0; sysmon_unique_parent_child_pair_count=0,sysmon_file_create_count=0; benign_mean=5.6667; standardised_deviation=-0.7626 | sysmon_network_connect_count=2; benign_mean=1.0417; standardised_deviation=0.5496 | sysmon_unique_process_image_count=0; benign_mean=0.5; standardised_deviation=-0.433 | sysmon_unique_parent_child_pair_count=0; benign_mean=0.5; standardised_deviation=-0.433 | sysmon_unique_destination_count=1; benign_mean=0.625; standardised_deviation=0.378,complete,yes,yes,yes,yes,yes,yes,4,0,55,10,0,22,101,0,/home/edradmin/edr-evidence/runs/S02-001-B1-V1,/home/edradmin/edr-evidence/runs/S02-001-B1-V1/run-validation-report.json,held-out-family shift,,,,yes,,pending
SELERR-020,window,family_holdout_1_B1_S1,random_forest,telemetry_only,S02-003-B1-V2,S02,B1,document_workflow,V2,0,2,2,0.69375,0.6,0.09375,1,false_positive,0.0,0,1.0,1,0.69375,1,0.5000223682437656,0,sysmon_file_create_count=0; sysmon_network_connect_count=0; sysmon_process_create_count=0; sysmon_cmd_process_count=0; sysmon_unique_process_image_count=0; sysmon_unique_parent_child_pair_count=0,sysmon_file_create_count=0; benign_mean=5.6667; standardised_deviation=-0.7626 | sysmon_unique_destination_count=0; benign_mean=0.625; standardised_deviation=-0.6299 | sysmon_network_connect_count=0; benign_mean=1.0417; standardised_deviation=-0.5974 | sysmon_unique_process_image_count=0; benign_mean=0.5; standardised_deviation=-0.433 | sysmon_unique_parent_child_pair_count=0; benign_mean=0.5; standardised_deviation=-0.433,complete,yes,yes,yes,yes,yes,yes,4,0,49,10,0,18,79,0,/home/edradmin/edr-evidence/runs/S02-003-B1-V2,/home/edradmin/edr-evidence/runs/S02-003-B1-V2/run-validation-report.json,held-out-family shift,,,,yes,,pending
