run_id,session_id,family_id,variant_id,scenario_name,label,mode,window_index,window_start_utc,window_end_utc,window_duration_s,sample_filename,behavioural_family,protocol_id,source_health_status,sysmon_process_create_count,sysmon_unique_process_image_count,sysmon_powershell_process_count,sysmon_cmd_process_count,sysmon_unique_parent_child_pair_count,sysmon_network_connect_count,sysmon_unique_destination_count,sysmon_dns_query_count,sysmon_file_create_count,sysmon_file_delete_count,sysmon_registry_event_count,osquery_process_count_delta,wazuh_level_00_count,wazuh_level_01_count,wazuh_level_02_count,wazuh_level_03_count,wazuh_level_04_count,wazuh_level_05_count,wazuh_level_06_count,wazuh_level_07_count,wazuh_level_08_count,wazuh_level_09_count,wazuh_level_10_count,wazuh_level_11_count,wazuh_level_12_count,wazuh_level_13_count,wazuh_level_14_count,wazuh_level_15_count,wazuh_alert_total_count,suricata_alert_count,exact_indicator_hit_count,exact_indicator_prediction,rule_baseline_prediction
S01-001-B2-V1,S01,B2,V1,B2-V1,0,Formal,0,2026-07-28T18:01:12.825039Z,2026-07-28T18:01:42.825039Z,30,S01-001-B2-V1-w00,B2,EDR-MSC-FINAL,complete,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,4,2,0,0,1
S01-001-B2-V1,S01,B2,V1,B2-V1,0,Formal,1,2026-07-28T18:01:42.825039Z,2026-07-28T18:02:12.825039Z,30,S01-001-B2-V1-w01,B2,EDR-MSC-FINAL,complete,0,0,0,0,0,1,1,0,2,0,0,-1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,1
S01-001-B2-V1,S01,B2,V1,B2-V1,0,Formal,2,2026-07-28T18:02:12.825039Z,2026-07-28T18:02:42.825039Z,30,S01-001-B2-V1-w02,B2,EDR-MSC-FINAL,complete,3,2,0,0,2,0,0,0,2,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,6,2,0,0,1
S01-001-B2-V1,S01,B2,V1,B2-V1,0,Formal,3,2026-07-28T18:02:42.825039Z,2026-07-28T18:03:12.825039Z,30,S01-001-B2-V1-w03,B2,EDR-MSC-FINAL,complete,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,4,3,0,0,1
S01-002-S3-V1,S01,S3,V1,S3-V1,1,Formal,0,2026-07-28T18:05:32.512836Z,2026-07-28T18:06:02.512836Z,30,S01-002-S3-V1-w00,S3,EDR-MSC-FINAL,complete,4,4,0,1,4,2,1,0,4,0,0,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0,8,3,5,1,1
S01-002-S3-V1,S01,S3,V1,S3-V1,1,Formal,1,2026-07-28T18:06:02.512836Z,2026-07-28T18:06:32.512836Z,30,S01-002-S3-V1-w01,S3,EDR-MSC-FINAL,complete,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,31,31,0,0,1
S01-002-S3-V1,S01,S3,V1,S3-V1,1,Formal,2,2026-07-28T18:06:32.512836Z,2026-07-28T18:07:02.512836Z,30,S01-002-S3-V1-w02,S3,EDR-MSC-FINAL,complete,6,4,0,0,4,55,13,3,2,0,0,3,0,0,0,1,0,0,2,0,0,0,0,0,3,0,0,0,6,1,0,0,1
S01-002-S3-V1,S01,S3,V1,S3-V1,1,Formal,3,2026-07-28T18:07:02.512836Z,2026-07-28T18:07:32.512836Z,30,S01-002-S3-V1-w03,S3,EDR-MSC-FINAL,complete,3,3,0,1,3,3,3,0,12,0,0,1,0,0,0,6,1,0,0,0,0,0,0,0,1,0,0,0,8,5,0,0,1
S01-003-S2-V1,S01,S2,V1,S2-V1,1,Formal,0,2026-07-28T18:09:51.965164Z,2026-07-28T18:10:21.965164Z,30,S01-003-S2-V1-w00,S2,EDR-MSC-FINAL,complete,0,0,0,0,0,0,0,0,41,0,0,-2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,4,3,38,1,1
S01-003-S2-V1,S01,S2,V1,S2-V1,1,Formal,1,2026-07-28T18:10:21.965164Z,2026-07-28T18:10:51.965164Z,30,S01-003-S2-V1-w01,S2,EDR-MSC-FINAL,complete,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,1
S01-003-S2-V1,S01,S2,V1,S2-V1,1,Formal,2,2026-07-28T18:10:51.965164Z,2026-07-28T18:11:21.965164Z,30,S01-003-S2-V1-w02,S2,EDR-MSC-FINAL,complete,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,24,1,1
