run_id,source,duplicate_count
S01-001-B2-V1,suricata,2
S01-002-S3-V1,suricata,4
S01-003-S2-V1,suricata,2
S01-004-B1-V1,suricata,4
S01-005-S1-V1,suricata,5
S01-006-S2-V2,suricata,7
S01-008-S3-V2,suricata,5
S01-009-B3-V1,suricata,2
S01-010-B3-V2,suricata,6
S01-012-S1-V2,suricata,5
S02-001-B1-V1,suricata,4
S02-004-S2-V1,suricata,3
S02-005-S1-V2,suricata,2
S02-007-S3-V2,suricata,9
S02-010-S1-V1,suricata,7
S02-011-B2-V1,suricata,6
S03-001-S2-V1,suricata,28
S03-002-B2-V1,suricata,2
S03-003-S2-V2,suricata,4
S03-004-B3-V1,suricata,2
S03-005-B1-V1,suricata,2
S03-006-B1-V2,suricata,2
S03-007-B3-V2,suricata,2
S03-008-S1-V1,suricata,2
S03-009-S3-V1,suricata,1
S03-010-S3-V2,suricata,8
S03-011-B2-V2,suricata,2
S03-012-S1-V2,suricata,7
