feature,nonzero_windows,unique_values
sysmon_process_create_count,56,10
sysmon_unique_process_image_count,56,7
sysmon_powershell_process_count,7,2
sysmon_cmd_process_count,24,2
sysmon_unique_parent_child_pair_count,56,7
sysmon_network_connect_count,56,17
sysmon_unique_destination_count,56,9
sysmon_dns_query_count,10,6
sysmon_file_create_count,123,15
sysmon_file_delete_count,12,3
sysmon_registry_event_count,12,3
osquery_process_count_delta,53,9
suricata_alert_count,144,10
wazuh_level_00_count,0,1
wazuh_level_01_count,0,1
wazuh_level_02_count,0,1
wazuh_level_03_count,144,10
wazuh_level_04_count,24,2
wazuh_level_05_count,0,1
wazuh_level_06_count,78,3
wazuh_level_07_count,0,1
wazuh_level_08_count,0,1
wazuh_level_09_count,0,1
wazuh_level_10_count,0,1
wazuh_level_11_count,0,1
wazuh_level_12_count,25,5
wazuh_level_13_count,0,1
wazuh_level_14_count,12,2
wazuh_level_15_count,0,1
