run_id,session_id,family_id,variant_id,label,mode,window_count,evidence_directory
S01-001-B2-V1,S01,B2,V1,0,Formal,4,/home/edradmin/edr-evidence/runs/S01-001-B2-V1
S01-002-S3-V1,S01,S3,V1,1,Formal,4,/home/edradmin/edr-evidence/runs/S01-002-S3-V1
S01-003-S2-V1,S01,S2,V1,1,Formal,4,/home/edradmin/edr-evidence/runs/S01-003-S2-V1
S01-004-B1-V1,S01,B1,V1,0,Formal,4,/home/edradmin/edr-evidence/runs/S01-004-B1-V1
S01-005-S1-V1,S01,S1,V1,1,Formal,4,/home/edradmin/edr-evidence/runs/S01-005-S1-V1
S01-006-S2-V2,S01,S2,V2,1,Formal,4,/home/edradmin/edr-evidence/runs/S01-006-S2-V2
S01-007-B1-V2,S01,B1,V2,0,Formal,4,/home/edradmin/edr-evidence/runs/S01-007-B1-V2
S01-008-S3-V2,S01,S3,V2,1,Formal,4,/home/edradmin/edr-evidence/runs/S01-008-S3-V2
S01-009-B3-V1,S01,B3,V1,0,Formal,4,/home/edradmin/edr-evidence/runs/S01-009-B3-V1
S01-010-B3-V2,S01,B3,V2,0,Formal,4,/home/edradmin/edr-evidence/runs/S01-010-B3-V2
S01-011-B2-V2,S01,B2,V2,0,Formal,4,/home/edradmin/edr-evidence/runs/S01-011-B2-V2
S01-012-S1-V2,S01,S1,V2,1,Formal,4,/home/edradmin/edr-evidence/runs/S01-012-S1-V2
S02-001-B1-V1,S02,B1,V1,0,Formal,4,/home/edradmin/edr-evidence/runs/S02-001-B1-V1
S02-002-B2-V2,S02,B2,V2,0,Formal,4,/home/edradmin/edr-evidence/runs/S02-002-B2-V2
S02-003-B1-V2,S02,B1,V2,0,Formal,4,/home/edradmin/edr-evidence/runs/S02-003-B1-V2
S02-004-S2-V1,S02,S2,V1,1,Formal,4,/home/edradmin/edr-evidence/runs/S02-004-S2-V1
S02-005-S1-V2,S02,S1,V2,1,Formal,4,/home/edradmin/edr-evidence/runs/S02-005-S1-V2
S02-006-S2-V2,S02,S2,V2,1,Formal,4,/home/edradmin/edr-evidence/runs/S02-006-S2-V2
S02-007-S3-V2,S02,S3,V2,1,Formal,4,/home/edradmin/edr-evidence/runs/S02-007-S3-V2
S02-008-B3-V1,S02,B3,V1,0,Formal,4,/home/edradmin/edr-evidence/runs/S02-008-B3-V1
S02-009-B3-V2,S02,B3,V2,0,Formal,4,/home/edradmin/edr-evidence/runs/S02-009-B3-V2
S02-010-S1-V1,S02,S1,V1,1,Formal,4,/home/edradmin/edr-evidence/runs/S02-010-S1-V1
S02-011-B2-V1,S02,B2,V1,0,Formal,4,/home/edradmin/edr-evidence/runs/S02-011-B2-V1
S02-012-S3-V1,S02,S3,V1,1,Formal,4,/home/edradmin/edr-evidence/runs/S02-012-S3-V1
S03-001-S2-V1,S03,S2,V1,1,Formal,4,/home/edradmin/edr-evidence/runs/S03-001-S2-V1
S03-002-B2-V1,S03,B2,V1,0,Formal,4,/home/edradmin/edr-evidence/runs/S03-002-B2-V1
S03-003-S2-V2,S03,S2,V2,1,Formal,4,/home/edradmin/edr-evidence/runs/S03-003-S2-V2
S03-004-B3-V1,S03,B3,V1,0,Formal,4,/home/edradmin/edr-evidence/runs/S03-004-B3-V1
S03-005-B1-V1,S03,B1,V1,0,Formal,4,/home/edradmin/edr-evidence/runs/S03-005-B1-V1
S03-006-B1-V2,S03,B1,V2,0,Formal,4,/home/edradmin/edr-evidence/runs/S03-006-B1-V2
S03-007-B3-V2,S03,B3,V2,0,Formal,4,/home/edradmin/edr-evidence/runs/S03-007-B3-V2
S03-008-S1-V1,S03,S1,V1,1,Formal,4,/home/edradmin/edr-evidence/runs/S03-008-S1-V1
S03-009-S3-V1,S03,S3,V1,1,Formal,4,/home/edradmin/edr-evidence/runs/S03-009-S3-V1
S03-010-S3-V2,S03,S3,V2,1,Formal,4,/home/edradmin/edr-evidence/runs/S03-010-S3-V2
S03-011-B2-V2,S03,B2,V2,0,Formal,4,/home/edradmin/edr-evidence/runs/S03-011-B2-V2
S03-012-S1-V2,S03,S1,V2,1,Formal,4,/home/edradmin/edr-evidence/runs/S03-012-S1-V2
