feature,nonzero_windows,unique_values
sysmon_process_create_count,47,7
sysmon_unique_process_image_count,47,6
sysmon_powershell_process_count,5,2
sysmon_cmd_process_count,20,2
sysmon_unique_parent_child_pair_count,47,6
sysmon_network_connect_count,31,14
sysmon_unique_destination_count,31,9
sysmon_dns_query_count,1,2
sysmon_file_create_count,102,15
sysmon_file_delete_count,10,3
sysmon_registry_event_count,10,3
osquery_process_count_delta,40,8
suricata_alert_count,120,9
wazuh_level_00_count,0,1
wazuh_level_01_count,0,1
wazuh_level_02_count,0,1
wazuh_level_03_count,120,10
wazuh_level_04_count,20,2
wazuh_level_05_count,0,1
wazuh_level_06_count,65,3
wazuh_level_07_count,0,1
wazuh_level_08_count,0,1
wazuh_level_09_count,0,1
wazuh_level_10_count,0,1
wazuh_level_11_count,0,1
wazuh_level_12_count,22,5
wazuh_level_13_count,0,1
wazuh_level_14_count,10,2
wazuh_level_15_count,0,1
