run_id,session_id,family_id,variant_id,label,mode,window_count,evidence_directory
PILOT-001-S2-V1,PILOT,S2,V1,1,Pilot,4,/home/edradmin/edr-evidence/pilot/runs/PILOT-001-S2-V1
PILOT-002-B3-V1,PILOT,B3,V1,0,Pilot,4,/home/edradmin/edr-evidence/pilot/runs/PILOT-002-B3-V1
PILOT-003-B3-V2,PILOT,B3,V2,0,Pilot,4,/home/edradmin/edr-evidence/pilot/runs/PILOT-003-B3-V2
PILOT-004-S3-V1,PILOT,S3,V1,1,Pilot,4,/home/edradmin/edr-evidence/pilot/runs/PILOT-004-S3-V1
PILOT-005-B2-V1,PILOT,B2,V1,0,Pilot,4,/home/edradmin/edr-evidence/pilot/runs/PILOT-005-B2-V1
PILOT-006-B3-V1,PILOT,B3,V1,0,Pilot,4,/home/edradmin/edr-evidence/pilot/runs/PILOT-006-B3-V1
PILOT-007-B1-V1,PILOT,B1,V1,0,Pilot,4,/home/edradmin/edr-evidence/pilot/runs/PILOT-007-B1-V1
PILOT-008-B2-V2,PILOT,B2,V2,0,Pilot,4,/home/edradmin/edr-evidence/pilot/runs/PILOT-008-B2-V2
PILOT-009-B1-V2,PILOT,B1,V2,0,Pilot,4,/home/edradmin/edr-evidence/pilot/runs/PILOT-009-B1-V2
PILOT-010-S1-V1,PILOT,S1,V1,1,Pilot,4,/home/edradmin/edr-evidence/pilot/runs/PILOT-010-S1-V1
PILOT-011-S1-V2,PILOT,S1,V2,1,Pilot,4,/home/edradmin/edr-evidence/pilot/runs/PILOT-011-S1-V2
PILOT-012-S2-V1,PILOT,S2,V1,1,Pilot,4,/home/edradmin/edr-evidence/pilot/runs/PILOT-012-S2-V1
PILOT-013-S2-V2,PILOT,S2,V2,1,Pilot,4,/home/edradmin/edr-evidence/pilot/runs/PILOT-013-S2-V2
PILOT-014-S2-V2,PILOT,S2,V2,1,Pilot,4,/home/edradmin/edr-evidence/pilot/runs/PILOT-014-S2-V2
PILOT-015-B1-V2,PILOT,B1,V2,0,Pilot,4,/home/edradmin/edr-evidence/pilot/runs/PILOT-015-B1-V2
PILOT-016-B3-V1,PILOT,B3,V1,0,Pilot,4,/home/edradmin/edr-evidence/pilot/runs/PILOT-016-B3-V1
PILOT-017-B1-V1,PILOT,B1,V1,0,Pilot,4,/home/edradmin/edr-evidence/pilot/runs/PILOT-017-B1-V1
PILOT-018-B3-V2,PILOT,B3,V2,0,Pilot,4,/home/edradmin/edr-evidence/pilot/runs/PILOT-018-B3-V2
PILOT-019-S2-V1,PILOT,S2,V1,1,Pilot,4,/home/edradmin/edr-evidence/pilot/runs/PILOT-019-S2-V1
PILOT-020-B2-V1,PILOT,B2,V1,0,Pilot,4,/home/edradmin/edr-evidence/pilot/runs/PILOT-020-B2-V1
PILOT-021-S3-V2,PILOT,S3,V2,1,Pilot,4,/home/edradmin/edr-evidence/pilot/runs/PILOT-021-S3-V2
PILOT-022-B2-V1,PILOT,B2,V1,0,Pilot,4,/home/edradmin/edr-evidence/pilot/runs/PILOT-022-B2-V1
PILOT-023-S1-V1,PILOT,S1,V1,1,Pilot,4,/home/edradmin/edr-evidence/pilot/runs/PILOT-023-S1-V1
PILOT-024-S3-V1,PILOT,S3,V1,1,Pilot,4,/home/edradmin/edr-evidence/pilot/runs/PILOT-024-S3-V1
PILOT-025-B1-V1,PILOT,B1,V1,0,Pilot,4,/home/edradmin/edr-evidence/pilot/runs/PILOT-025-B1-V1
PILOT-026-S1-V2,PILOT,S1,V2,1,Pilot,4,/home/edradmin/edr-evidence/pilot/runs/PILOT-026-S1-V2
PILOT-027-S3-V2,PILOT,S3,V2,1,Pilot,4,/home/edradmin/edr-evidence/pilot/runs/PILOT-027-S3-V2
PILOT-028-B2-V2,PILOT,B2,V2,0,Pilot,4,/home/edradmin/edr-evidence/pilot/runs/PILOT-028-B2-V2
PILOT-029-S3-V1,PILOT,S3,V1,1,Pilot,4,/home/edradmin/edr-evidence/pilot/runs/PILOT-029-S3-V1
PILOT-030-S1-V1,PILOT,S1,V1,1,Pilot,4,/home/edradmin/edr-evidence/pilot/runs/PILOT-030-S1-V1
