run_id,session_id,family_id,variant_id,label,mode,sample_count,evidence_directory_bytes,cpu_load_percent_median,cpu_load_percent_iqr,cpu_load_percent_maximum,memory_used_mb_median,memory_used_mb_iqr,memory_used_mb_maximum,disk_bytes_per_sec_median,disk_bytes_per_sec_iqr,disk_bytes_per_sec_maximum,network_bytes_per_sec_median,network_bytes_per_sec_iqr,network_bytes_per_sec_maximum,free_system_disk_mb_median,free_system_disk_mb_iqr,free_system_disk_mb_maximum,monitored_process_cpu_percent_median,monitored_process_cpu_percent_iqr,monitored_process_cpu_percent_maximum,monitored_process_working_set_mb_median,monitored_process_working_set_mb_iqr,monitored_process_working_set_mb_maximum
S01-001-B2-V1,S01,B2,V1,0,Formal,34,855829,1.0,1.0,47.0,3816.6000000000004,54.32749999999987,3866.12,14501.98,76492.4425,6491390.3,0.0,40.74,691.64,95840.58499999999,6.3125,95844.28,0.11,0.11000000000000001,0.771,108.265,3.3900000000000006,110.79
S01-002-S3-V1,S01,S3,V1,1,Formal,34,1044545,1.5,2.0,53.0,3857.85,138.4024999999997,3980.91,12166.415,36628.2225,1074102.01,0.0,106.42500000000001,27192.27,95781.88500000001,0.3074999999953434,95782.1,0.165,0.111,0.551,106.17500000000001,0.8399999999999892,111.02
S01-003-S2-V1,S01,S2,V1,1,Formal,34,881784,2.0,2.0,26.0,3868.9849999999997,8.8449999999998,3920.49,12286.17,39315.08,617556.02,41.85,494.0825,4930.34,95780.44,0.5350000000034925,95780.97,0.165,0.111,0.417,105.13,0.7849999999999966,107.68
S01-004-B1-V1,S01,B1,V1,0,Formal,34,885619,2.0,1.0,35.0,3907.39,14.759999999999764,3918.67,12387.8,52588.92,544354.07,0.0,551.52,2669.97,95778.59,0.7074999999895226,95779.0,0.165,0.111,0.439,105.99000000000001,0.7450000000000188,110.33
S01-005-S1-V1,S01,S1,V1,1,Formal,34,949845,2.0,2.0,7.0,3888.955,7.362500000000182,3902.41,12249.41,43926.725,278937.42,0.0,286.01750000000004,33646.39,95777.11,0.2575000000069849,95777.34,0.11,0.11000000000000001,0.386,106.045,0.9350000000000023,109.75
S01-006-S2-V2,S01,S2,V2,1,Formal,34,915928,1.5,2.0,26.0,3896.79,38.257500000000164,3946.34,12169.23,60858.0475,1496814.41,0.0,527.355,10061.65,95775.92,0.21249999999417923,95776.23,0.165,0.16500000000000004,0.44,108.155,2.007499999999993,111.45
S01-007-B1-V2,S01,B1,V2,0,Formal,34,851074,1.0,1.0,30.0,3890.67,9.6875,3901.28,12197.994999999999,28422.9225,143969.05,84.505,337.7825,3646.66,95774.46,0.20749999998952262,95775.1,0.165,0.11,0.386,106.39,0.5999999999999943,110.72
S01-008-S3-V2,S01,S3,V2,1,Formal,34,1037459,2.0,2.0,6.0,3896.825,6.432499999999891,3902.38,10240.310000000001,32652.955,649835.44,0.0,220.745,20667.81,95773.375,0.2975000000005821,95773.62,0.11,0.11000000000000001,0.386,106.235,0.2650000000000148,108.51
S01-009-B3-V1,S01,B3,V1,0,Formal,34,927996,1.0,1.0,18.0,3913.6850000000004,25.840000000000146,3930.84,30714.765,110834.3075,498702.04,0.0,0.0,5528.2,95772.24,1.117499999993015,95775.32,0.165,0.11,0.385,106.32,0.07500000000000284,110.5
S01-010-B3-V2,S01,B3,V2,0,Formal,34,863799,1.5,1.0,29.0,3870.52,5.985000000000127,3899.33,6117.48,31487.465,222085.09,0.0,410.15,5166.0,95775.07,0.2674999999871943,95775.39,0.11,0.05500000000000001,0.55,106.07,0.769999999999996,108.2
S01-011-B2-V2,S01,B2,V2,0,Formal,34,845921,1.5,2.0,5.0,3894.855,19.55749999999989,3913.86,12195.74,63749.385,154502.21,0.0,136.12,1481.74,95774.04,0.3099999999976717,95774.29,0.11,0.154,0.44,105.74,0.41500000000000625,108.29
S01-012-S1-V2,S01,S1,V2,1,Formal,34,1007335,2.0,1.75,5.0,4023.125,74.63999999999987,4079.51,12245.52,38418.182499999995,815589.19,0.0,307.8,33551.65,95772.41,0.33749999999417923,95772.76,0.165,0.16500000000000004,0.604,106.28999999999999,0.7150000000000034,110.32
S02-001-B1-V1,S02,B1,V1,0,Formal,34,881066,2.0,2.0,23.0,4067.9300000000003,10.940000000000055,4076.98,12336.994999999999,67117.6975,287907.85,0.0,143.5025,1401.67,95845.1,0.7375000000029104,95845.44,0.11,0.11000000000000001,0.384,106.84,0.060000000000002274,110.13
S02-002-B2-V2,S02,B2,V2,0,Formal,34,875600,1.0,1.0,45.0,4042.25,103.26999999999998,4120.03,22462.699999999997,64342.267499999994,756785.19,0.0,142.255,3674.44,95843.025,0.27750000001105946,95843.85,0.11,0.114,0.385,105.25,0.3149999999999977,108.39
S02-003-B1-V2,S02,B1,V2,0,Formal,34,856780,2.0,2.0,18.0,3728.545,370.9050000000002,4098.12,8187.635,69224.615,344051.06,0.0,141.35999999999999,1656.81,95842.11,0.40499999998428393,95842.32,0.11,0.05500000000000001,0.331,94.39500000000001,13.319999999999993,111.38
S02-004-S2-V1,S02,S2,V1,1,Formal,34,899163,1.0,1.0,9.0,3729.96,18.257500000000164,3748.93,12211.845,46369.134999999995,205261.04,42.575,327.44,4939.09,95840.94,0.22999999999592546,95841.18,0.165,0.05600000000000001,0.497,92.57,0.3375000000000057,96.59
