design,left,right,metric,median_difference,lower_95,upper_95,interval_includes_zero
family_holdout_1_B1_S1,exact_indicator_baseline,hybrid-logistic_regression,mcc,-0.42264973081037427,-0.6984886554222364,-0.15484574527148343,False
family_holdout_1_B1_S1,exact_indicator_baseline,hybrid-logistic_regression,recall,-0.5,-0.8333333333333334,-0.16666666666666663,False
family_holdout_1_B1_S1,exact_indicator_baseline,hybrid-logistic_regression,false_positive_rate,0.0,0.0,0.0,True
family_holdout_1_B1_S1,exact_indicator_baseline,hybrid-logistic_regression,balanced_accuracy,-0.25,-0.41666666666666663,-0.08333333333333326,False
family_holdout_1_B1_S1,exact_indicator_baseline,hybrid-random_forest,mcc,-0.138047473541969,-0.5527864045000421,0.276265281966902,True
family_holdout_1_B1_S1,exact_indicator_baseline,hybrid-random_forest,recall,-0.5,-0.8333333333333334,-0.16666666666666663,False
family_holdout_1_B1_S1,exact_indicator_baseline,hybrid-random_forest,false_positive_rate,-0.3333333333333333,-0.6666666666666666,0.0,True
family_holdout_1_B1_S1,exact_indicator_baseline,hybrid-random_forest,balanced_accuracy,-0.08333333333333337,-0.33333333333333337,0.16666666666666674,True
family_holdout_1_B1_S1,exact_indicator_baseline,hybrid-xgboost,mcc,0.5773502691896257,0.30151134457776363,0.8451542547285166,False
family_holdout_1_B1_S1,exact_indicator_baseline,hybrid-xgboost,recall,-0.5,-0.8333333333333334,-0.16666666666666663,False
family_holdout_1_B1_S1,exact_indicator_baseline,hybrid-xgboost,false_positive_rate,-1.0,-1.0,-1.0,False
family_holdout_1_B1_S1,exact_indicator_baseline,hybrid-xgboost,balanced_accuracy,0.25,0.08333333333333337,0.41666666666666674,False
family_holdout_1_B1_S1,exact_indicator_baseline,rule_baseline,mcc,0.5773502691896257,0.30151134457776363,0.8451542547285166,False
family_holdout_1_B1_S1,exact_indicator_baseline,rule_baseline,recall,-0.5,-0.8333333333333334,-0.16666666666666663,False
family_holdout_1_B1_S1,exact_indicator_baseline,rule_baseline,false_positive_rate,-1.0,-1.0,-1.0,False
family_holdout_1_B1_S1,exact_indicator_baseline,rule_baseline,balanced_accuracy,0.25,0.08333333333333337,0.41666666666666674,False
family_holdout_1_B1_S1,exact_indicator_baseline,telemetry_only-logistic_regression,mcc,-0.138047473541969,-0.5564289607730969,0.39794065922855865,True
family_holdout_1_B1_S1,exact_indicator_baseline,telemetry_only-logistic_regression,recall,-0.5,-0.8333333333333334,-0.162499999999999,False
family_holdout_1_B1_S1,exact_indicator_baseline,telemetry_only-logistic_regression,false_positive_rate,-0.3333333333333333,-0.8333333333333334,0.0,True
family_holdout_1_B1_S1,exact_indicator_baseline,telemetry_only-logistic_regression,balanced_accuracy,-0.08333333333333348,-0.33333333333333337,0.25,True
family_holdout_1_B1_S1,exact_indicator_baseline,telemetry_only-random_forest,mcc,0.5773502691896257,0.30151134457776363,0.8451542547285166,False
family_holdout_1_B1_S1,exact_indicator_baseline,telemetry_only-random_forest,recall,-0.5,-0.8333333333333334,-0.16666666666666663,False
family_holdout_1_B1_S1,exact_indicator_baseline,telemetry_only-random_forest,false_positive_rate,-1.0,-1.0,-1.0,False
family_holdout_1_B1_S1,exact_indicator_baseline,telemetry_only-random_forest,balanced_accuracy,0.25,0.08333333333333337,0.41666666666666674,False
family_holdout_1_B1_S1,exact_indicator_baseline,telemetry_only-xgboost,mcc,0.5773502691896257,0.30151134457776363,0.8451542547285166,False
family_holdout_1_B1_S1,exact_indicator_baseline,telemetry_only-xgboost,recall,-0.5,-0.8333333333333334,-0.16666666666666663,False
family_holdout_1_B1_S1,exact_indicator_baseline,telemetry_only-xgboost,false_positive_rate,-1.0,-1.0,-1.0,False
family_holdout_1_B1_S1,exact_indicator_baseline,telemetry_only-xgboost,balanced_accuracy,0.25,0.08333333333333337,0.41666666666666674,False
family_holdout_1_B1_S1,hybrid-logistic_regression,hybrid-random_forest,mcc,0.2928932188134524,0.0,0.5527864045000421,True
family_holdout_1_B1_S1,hybrid-logistic_regression,hybrid-random_forest,recall,0.0,0.0,0.0,True
family_holdout_1_B1_S1,hybrid-logistic_regression,hybrid-random_forest,false_positive_rate,-0.3333333333333333,-0.6666666666666666,0.0,True
family_holdout_1_B1_S1,hybrid-logistic_regression,hybrid-random_forest,balanced_accuracy,0.16666666666666674,0.0,0.33333333333333337,True
family_holdout_1_B1_S1,hybrid-logistic_regression,hybrid-xgboost,mcc,1.0,1.0,1.0,False
family_holdout_1_B1_S1,hybrid-logistic_regression,hybrid-xgboost,recall,0.0,0.0,0.0,True
family_holdout_1_B1_S1,hybrid-logistic_regression,hybrid-xgboost,false_positive_rate,-1.0,-1.0,-1.0,False
family_holdout_1_B1_S1,hybrid-logistic_regression,hybrid-xgboost,balanced_accuracy,0.5,0.5,0.5,False
family_holdout_1_B1_S1,hybrid-logistic_regression,rule_baseline,mcc,1.0,1.0,1.0,False
family_holdout_1_B1_S1,hybrid-logistic_regression,rule_baseline,recall,0.0,0.0,0.0,True
family_holdout_1_B1_S1,hybrid-logistic_regression,rule_baseline,false_positive_rate,-1.0,-1.0,-1.0,False
family_holdout_1_B1_S1,hybrid-logistic_regression,rule_baseline,balanced_accuracy,0.5,0.5,0.5,False
family_holdout_1_B1_S1,hybrid-logistic_regression,telemetry_only-logistic_regression,mcc,0.2928932188134524,0.0,0.5564289607730978,True
family_holdout_1_B1_S1,hybrid-logistic_regression,telemetry_only-logistic_regression,recall,0.0,0.0,0.0,True
family_holdout_1_B1_S1,hybrid-logistic_regression,telemetry_only-logistic_regression,false_positive_rate,-0.3333333333333333,-0.6708333333333332,0.0,True
family_holdout_1_B1_S1,hybrid-logistic_regression,telemetry_only-logistic_regression,balanced_accuracy,0.16666666666666674,0.0,0.3354166666666672,True
family_holdout_1_B1_S1,hybrid-logistic_regression,telemetry_only-random_forest,mcc,1.0,1.0,1.0,False
