window_design,design,feature_set,model,run_mcc,run_recall,run_fpr,window_false_alerts_per_benign_hour
30s,variant,telemetry_only,logistic_regression,1.0,1.0,0.0,0.0
30s,variant,telemetry_only,random_forest,0.8944271909999159,1.0,0.1111111111111111,3.3333333333333335
30s,variant,telemetry_only,xgboost,0.3535533905932738,1.0,0.7777777777777778,23.333333333333336
30s,variant,hybrid,logistic_regression,1.0,1.0,0.0,0.0
30s,variant,hybrid,random_forest,0.7071067811865475,1.0,0.3333333333333333,10.0
30s,variant,hybrid,xgboost,0.3535533905932738,1.0,0.7777777777777778,23.333333333333336
30s,temporal,telemetry_only,logistic_regression,0.8451542547285166,1.0,0.16666666666666666,5.0
30s,temporal,telemetry_only,random_forest,0.7071067811865476,1.0,0.3333333333333333,10.0
30s,temporal,telemetry_only,xgboost,0.4472135954999579,1.0,0.6666666666666666,25.0
30s,temporal,hybrid,logistic_regression,0.8451542547285166,1.0,0.16666666666666666,10.0
30s,temporal,hybrid,random_forest,0.5773502691896257,1.0,0.5,20.0
30s,temporal,hybrid,xgboost,0.7071067811865476,1.0,0.3333333333333333,10.0
30s,family_holdout_1_B1_S1,telemetry_only,logistic_regression,0.7071067811865476,1.0,0.3333333333333333,10.0
30s,family_holdout_1_B1_S1,telemetry_only,random_forest,0.0,1.0,1.0,30.0
30s,family_holdout_1_B1_S1,telemetry_only,xgboost,0.0,1.0,1.0,40.0
30s,family_holdout_1_B1_S1,hybrid,logistic_regression,1.0,1.0,0.0,0.0
30s,family_holdout_1_B1_S1,hybrid,random_forest,0.7071067811865476,1.0,0.3333333333333333,10.0
30s,family_holdout_1_B1_S1,hybrid,xgboost,0.0,1.0,1.0,55.0
30s,family_holdout_2_B2_S2,telemetry_only,logistic_regression,0.7071067811865476,1.0,0.3333333333333333,10.0
30s,family_holdout_2_B2_S2,telemetry_only,random_forest,0.0,1.0,1.0,30.0
30s,family_holdout_2_B2_S2,telemetry_only,xgboost,0.0,1.0,1.0,35.0
30s,family_holdout_2_B2_S2,hybrid,logistic_regression,0.30151134457776363,1.0,0.8333333333333334,55.0
30s,family_holdout_2_B2_S2,hybrid,random_forest,0.0,1.0,1.0,30.0
30s,family_holdout_2_B2_S2,hybrid,xgboost,0.8451542547285166,1.0,0.16666666666666666,5.0
30s,family_holdout_3_B3_S3,telemetry_only,logistic_regression,0.30151134457776363,1.0,0.8333333333333334,50.0
30s,family_holdout_3_B3_S3,telemetry_only,random_forest,0.0,1.0,1.0,60.0
30s,family_holdout_3_B3_S3,telemetry_only,xgboost,0.0,1.0,1.0,60.0
30s,family_holdout_3_B3_S3,hybrid,logistic_regression,0.5773502691896257,1.0,0.5,20.0
30s,family_holdout_3_B3_S3,hybrid,random_forest,0.0,1.0,1.0,50.0
30s,family_holdout_3_B3_S3,hybrid,xgboost,0.0,1.0,1.0,60.0
60s,variant,telemetry_only,logistic_regression,0.7071067811865475,1.0,0.3333333333333333,10.0
60s,variant,telemetry_only,random_forest,0.7977240352174656,1.0,0.2222222222222222,6.666666666666667
60s,variant,telemetry_only,xgboost,1.0,1.0,0.0,0.0
60s,variant,hybrid,logistic_regression,0.7977240352174656,1.0,0.2222222222222222,6.666666666666667
60s,variant,hybrid,random_forest,0.7071067811865475,1.0,0.3333333333333333,10.0
60s,variant,hybrid,xgboost,0.7071067811865475,1.0,0.3333333333333333,10.0
60s,temporal,telemetry_only,logistic_regression,0.8451542547285166,1.0,0.16666666666666666,5.0
60s,temporal,telemetry_only,random_forest,1.0,1.0,0.0,0.0
60s,temporal,telemetry_only,xgboost,0.8451542547285166,1.0,0.16666666666666666,5.0
60s,temporal,hybrid,logistic_regression,0.7071067811865476,1.0,0.3333333333333333,10.0
