sequence_number,session_id,planned_run_id,family_id,variant_id,label,family_repetition,planned_start_utc,status,actual_start_utc,actual_end_utc,exit_code,evidence_root,error_message,central_status,central_completed_utc,central_error
1,S02,S02-001-B1-V1,B1,V1,0,1,,planned,,,,,,,,
2,S02,S02-002-B2-V2,B2,V2,0,2,,planned,,,,,,,,
3,S02,S02-003-B1-V2,B1,V2,0,2,,planned,,,,,,,,
4,S02,S02-004-S2-V1,S2,V1,1,1,,planned,,,,,,,,
5,S02,S02-005-S1-V2,S1,V2,1,2,,planned,,,,,,,,
6,S02,S02-006-S2-V2,S2,V2,1,2,,planned,,,,,,,,
7,S02,S02-007-S3-V2,S3,V2,1,2,,planned,,,,,,,,
8,S02,S02-008-B3-V1,B3,V1,0,1,,planned,,,,,,,,
9,S02,S02-009-B3-V2,B3,V2,0,2,,planned,,,,,,,,
10,S02,S02-010-S1-V1,S1,V1,1,1,,planned,,,,,,,,
11,S02,S02-011-B2-V1,B2,V1,0,1,,planned,,,,,,,,
12,S02,S02-012-S3-V1,S3,V1,1,1,,planned,,,,,,,,
