sequence_number,session_id,planned_run_id,family_id,variant_id,label,family_repetition,planned_start_utc,status,actual_start_utc,actual_end_utc,exit_code,evidence_root,error_message,central_status,central_completed_utc,central_error
1,PILOT,PILOT-001-S2-V1,S2,V1,1,1,,planned,,,,,,,,
2,PILOT,PILOT-002-B3-V1,B3,V1,0,5,,planned,,,,,,,,
3,PILOT,PILOT-003-B3-V2,B3,V2,0,2,,planned,,,,,,,,
4,PILOT,PILOT-004-S3-V1,S3,V1,1,1,,planned,,,,,,,,
5,PILOT,PILOT-005-B2-V1,B2,V1,0,3,,planned,,,,,,,,
6,PILOT,PILOT-006-B3-V1,B3,V1,0,3,,planned,,,,,,,,
7,PILOT,PILOT-007-B1-V1,B1,V1,0,3,,planned,,,,,,,,
8,PILOT,PILOT-008-B2-V2,B2,V2,0,2,,planned,,,,,,,,
9,PILOT,PILOT-009-B1-V2,B1,V2,0,4,,planned,,,,,,,,
10,PILOT,PILOT-010-S1-V1,S1,V1,1,1,,planned,,,,,,,,
11,PILOT,PILOT-011-S1-V2,S1,V2,1,4,,planned,,,,,,,,
12,PILOT,PILOT-012-S2-V1,S2,V1,1,5,,planned,,,,,,,,
13,PILOT,PILOT-013-S2-V2,S2,V2,1,4,,planned,,,,,,,,
14,PILOT,PILOT-014-S2-V2,S2,V2,1,2,,planned,,,,,,,,
15,PILOT,PILOT-015-B1-V2,B1,V2,0,2,,planned,,,,,,,,
16,PILOT,PILOT-016-B3-V1,B3,V1,0,1,,planned,,,,,,,,
17,PILOT,PILOT-017-B1-V1,B1,V1,0,1,,planned,,,,,,,,
18,PILOT,PILOT-018-B3-V2,B3,V2,0,4,,planned,,,,,,,,
19,PILOT,PILOT-019-S2-V1,S2,V1,1,3,,planned,,,,,,,,
20,PILOT,PILOT-020-B2-V1,B2,V1,0,1,,planned,,,,,,,,
21,PILOT,PILOT-021-S3-V2,S3,V2,1,4,,planned,,,,,,,,
22,PILOT,PILOT-022-B2-V1,B2,V1,0,5,,planned,,,,,,,,
23,PILOT,PILOT-023-S1-V1,S1,V1,1,3,,planned,,,,,,,,
24,PILOT,PILOT-024-S3-V1,S3,V1,1,5,,planned,,,,,,,,
25,PILOT,PILOT-025-B1-V1,B1,V1,0,5,,planned,,,,,,,,
26,PILOT,PILOT-026-S1-V2,S1,V2,1,2,,planned,,,,,,,,
27,PILOT,PILOT-027-S3-V2,S3,V2,1,2,,planned,,,,,,,,
28,PILOT,PILOT-028-B2-V2,B2,V2,0,4,,planned,,,,,,,,
29,PILOT,PILOT-029-S3-V1,S3,V1,1,3,,planned,,,,,,,,
30,PILOT,PILOT-030-S1-V1,S1,V1,1,5,,planned,,,,,,,,
